Sample_ID,Run_ID,Read1,Read2,Read1_ReadCount,Read2_ReadCount
SRR23946404,SRR23946404,SRR23946404/SRR23946404_1.fastq.gz,SRR23946404/SRR23946404_2.fastq.gz,5165262,5165262
SRR23946405,SRR23946405,SRR23946405/SRR23946405_1.fastq.gz,SRR23946405/SRR23946405_2.fastq.gz,15622240,15622240
SRR23946406,SRR23946406,SRR23946406/SRR23946406_1.fastq.gz,SRR23946406/SRR23946406_2.fastq.gz,6865795,6865795
SRR23946407,SRR23946407,SRR23946407/SRR23946407_1.fastq.gz,SRR23946407/SRR23946407_2.fastq.gz,13038107,13038107
SRR23946408,SRR23946408,SRR23946408/SRR23946408_1.fastq.gz,SRR23946408/SRR23946408_2.fastq.gz,13586172,13586172
SRR23946409,SRR23946409,SRR23946409/SRR23946409_1.fastq.gz,SRR23946409/SRR23946409_2.fastq.gz,4793277,4793277
SRR23946410,SRR23946410,SRR23946410/SRR23946410_1.fastq.gz,SRR23946410/SRR23946410_2.fastq.gz,14394348,14394348
SRR23946411,SRR23946411,SRR23946411/SRR23946411_1.fastq.gz,SRR23946411/SRR23946411_2.fastq.gz,7707478,7707478
SRR23946412,SRR23946412,SRR23946412/SRR23946412_1.fastq.gz,SRR23946412/SRR23946412_2.fastq.gz,13334233,13334233
SRR23946413,SRR23946413,SRR23946413/SRR23946413_1.fastq.gz,SRR23946413/SRR23946413_2.fastq.gz,5008138,5008138
SRR23946414,SRR23946414,SRR23946414/SRR23946414_1.fastq.gz,SRR23946414/SRR23946414_2.fastq.gz,15333943,15333943
SRR23946415,SRR23946415,SRR23946415/SRR23946415_1.fastq.gz,SRR23946415/SRR23946415_2.fastq.gz,13278909,13278909
SRR23946416,SRR23946416,SRR23946416/SRR23946416_1.fastq.gz,SRR23946416/SRR23946416_2.fastq.gz,21716916,21716916
SRR23946417,SRR23946417,SRR23946417/SRR23946417_1.fastq.gz,SRR23946417/SRR23946417_2.fastq.gz,5611799,5611799
SRR23946418,SRR23946418,SRR23946418/SRR23946418_1.fastq.gz,SRR23946418/SRR23946418_2.fastq.gz,11165856,11165856
SRR23946419,SRR23946419,SRR23946419/SRR23946419_1.fastq.gz,SRR23946419/SRR23946419_2.fastq.gz,16196845,16196845
SRR23946420,SRR23946420,SRR23946420/SRR23946420_1.fastq.gz,SRR23946420/SRR23946420_2.fastq.gz,7073282,7073282
SRR23946421,SRR23946421,SRR23946421/SRR23946421_1.fastq.gz,SRR23946421/SRR23946421_2.fastq.gz,13309426,13309426
SRR23946422,SRR23946422,SRR23946422/SRR23946422_1.fastq.gz,SRR23946422/SRR23946422_2.fastq.gz,21272682,21272682
SRR23946423,SRR23946423,SRR23946423/SRR23946423_1.fastq.gz,SRR23946423/SRR23946423_2.fastq.gz,20492493,20492493
SRR23946424,SRR23946424,SRR23946424/SRR23946424_1.fastq.gz,SRR23946424/SRR23946424_2.fastq.gz,17468244,17468244
SRR23946425,SRR23946425,SRR23946425/SRR23946425_1.fastq.gz,SRR23946425/SRR23946425_2.fastq.gz,5382486,5382486
