run_accession	sample_accession	experiment_accession	library_layout	description	sample_alias	library_strategy	scientific_name	fastq_ftp
SRR13891628	SAMN18174704	SRX10271384	PAIRED	Illumina MiSeq sequencing: High body weight chicken 9 jejunal content	H9JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/028/SRR13891628/SRR13891628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/028/SRR13891628/SRR13891628_2.fastq.gz
SRR13891632	SAMN18174700	SRX10271380	PAIRED	Illumina MiSeq sequencing: High body weight chicken 5 jejunal content	H5JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/032/SRR13891632/SRR13891632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/032/SRR13891632/SRR13891632_2.fastq.gz
SRR13891633	SAMN18174735	SRX10271379	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 10 jejunal mucosa	L10JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/033/SRR13891633/SRR13891633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/033/SRR13891633/SRR13891633_2.fastq.gz
SRR13891634	SAMN18174734	SRX10271378	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 9 jejunal mucosa	L9JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/034/SRR13891634/SRR13891634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/034/SRR13891634/SRR13891634_2.fastq.gz
SRR13891635	SAMN18174733	SRX10271377	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 8 jejunal mucosa	L8JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/035/SRR13891635/SRR13891635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/035/SRR13891635/SRR13891635_2.fastq.gz
SRR13891638	SAMN18174730	SRX10271374	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 5 jejunal mucosa	L5JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/038/SRR13891638/SRR13891638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/038/SRR13891638/SRR13891638_2.fastq.gz
SRR13891641	SAMN18174727	SRX10271371	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 2 jejunal mucosa	L2JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/041/SRR13891641/SRR13891641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/041/SRR13891641/SRR13891641_2.fastq.gz
SRR13891644	SAMN18174725	SRX10271368	PAIRED	Illumina MiSeq sequencing: High body weight chicken 10 jejunal mucosa	H10JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/044/SRR13891644/SRR13891644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/044/SRR13891644/SRR13891644_2.fastq.gz
SRR13891645	SAMN18174724	SRX10271367	PAIRED	Illumina MiSeq sequencing: High body weight chicken 9 jejunal mucosa	H9JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/045/SRR13891645/SRR13891645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/045/SRR13891645/SRR13891645_2.fastq.gz
SRR13891646	SAMN18174723	SRX10271366	PAIRED	Illumina MiSeq sequencing: High body weight chicken 8 jejunal mucosa	H8JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/046/SRR13891646/SRR13891646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/046/SRR13891646/SRR13891646_2.fastq.gz
SRR13891648	SAMN18174721	SRX10271364	PAIRED	Illumina MiSeq sequencing: High body weight chicken 6 jejunal mucosa	H6JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/048/SRR13891648/SRR13891648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/048/SRR13891648/SRR13891648_2.fastq.gz
SRR13891651	SAMN18174718	SRX10271361	PAIRED	Illumina MiSeq sequencing: High body weight chicken 3 jejunal mucosa	H3JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/051/SRR13891651/SRR13891651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/051/SRR13891651/SRR13891651_2.fastq.gz
SRR13891654	SAMN18174698	SRX10271358	PAIRED	Illumina MiSeq sequencing: High body weight chicken 3 jejunal content	H3JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/054/SRR13891654/SRR13891654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/054/SRR13891654/SRR13891654_2.fastq.gz
SRR13891661	SAMN18174709	SRX10271351	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 4 jejunal content	L4JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/061/SRR13891661/SRR13891661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/061/SRR13891661/SRR13891661_2.fastq.gz
SRR13891663	SAMN18174707	SRX10271349	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 2 jejunal content	L2JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/063/SRR13891663/SRR13891663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/063/SRR13891663/SRR13891663_2.fastq.gz
SRR13891665	SAMN18174697	SRX10271347	PAIRED	Illumina MiSeq sequencing: High body weight chicken 2 jejunal content	H2JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/065/SRR13891665/SRR13891665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/065/SRR13891665/SRR13891665_2.fastq.gz
SRR13891627	SAMN18174705	SRX10271385	PAIRED	Illumina MiSeq sequencing: High body weight chicken 10 jejunal content	H10JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/027/SRR13891627/SRR13891627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/027/SRR13891627/SRR13891627_2.fastq.gz
SRR13891629	SAMN18174703	SRX10271383	PAIRED	Illumina MiSeq sequencing: High body weight chicken 8 jejunal content	H8JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13891629/SRR13891629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/029/SRR13891629/SRR13891629_2.fastq.gz
SRR13891640	SAMN18174728	SRX10271372	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 3 jejunal mucosa	L3JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13891640/SRR13891640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/040/SRR13891640/SRR13891640_2.fastq.gz
SRR13891642	SAMN18174726	SRX10271370	PAIRED	Illumina MiSeq sequencing: Low body weight chicken 1 jejunal mucosa	L1JM	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/042/SRR13891642/SRR13891642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/042/SRR13891642/SRR13891642_2.fastq.gz
SRR13891643	SAMN18174699	SRX10271369	PAIRED	Illumina MiSeq sequencing: High body weight chicken 4 jejunal content	H4JC	AMPLICON	chicken gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13891643/SRR13891643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13891643/SRR13891643_2.fastq.gz
