Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
SRR13891627_1	35.260200000000005	0.900056	32163629.0	149598.0	0.518256	99.4654326405234	5.1116341538011465
SRR13891628_1	39.0824	0.892252	15838226.0	71770.0	0.525677	99.53678020636858	0.09430822145789415
SRR13891629_1	45.5752	0.902049	25422192.0	113878.0	0.51248	99.42550813717958	0.012223231123838793
SRR13891630_1	48.4349	0.903077	27392534.0	122562.0	0.51546	99.38856271692238	0.012974796457880569
SRR13891631_1	24.921499999999998	0.895825	24830903.0	115868.0	0.528309	99.35346675584367	5.393493508943424
SRR13891632_1	39.5516	0.893113	22540948.0	102000.0	0.525205	99.60159362549801	0.0214826966643231
SRR13891633_1	14.768500000000001	0.891411	15234072.0	70836.0	0.549421	99.42452909637032	4.502708924009769
SRR13891634_1	23.596700000000002	0.890292	19125093.0	86966.0	0.532764	99.2989266955926	0.26946791504909795
SRR13891635_1	21.239	0.877909	19659842.0	91376.0	0.548527	99.41250707167414	1.6928499934723007
SRR13891636_1	20.0426	0.878611	23041184.0	113572.0	0.545152	99.21031482581502	10.685209126803871
SRR13891637_1	35.4209	0.899321	15309473.0	68802.0	0.533659	99.5111368238357	0.03471217818918137
SRR13891638_1	28.082099999999997	0.866272	27085834.0	126884.0	0.551115	99.23045640817094	0.7288766540494885
SRR13891639_1	40.728500000000004	0.897474	17301286.0	77928.0	0.523712	99.24605196128375	0.11971472236372899
SRR13891640_1	38.1402	0.90699	15955294.0	71110.0	0.525565	99.346167816927	0.047500628684791414
SRR13891641_1	39.39	0.894051	17580448.0	79466.0	0.534436	99.49666950468273	0.03505784544498422
SRR13891642_1	18.7527	0.877252	24641768.0	120792.0	0.541796	99.14962077683292	9.071806152936928
SRR13891643_1	48.6749	0.85721	364664.0	1732.0	0.543692	1.5413366556910206	49.21064341016286
SRR13891644_1	28.2749	0.886868	16379962.0	74692.0	0.543534	99.51502877851205	0.04529950969942443
SRR13891645_1	23.8989	0.897185	31613228.0	152644.0	0.528982	99.45530362262184	10.178524889236384
SRR13891646_1	39.1698	0.903026	25721591.0	117298.0	0.507954	99.33268973460021	2.7844113612113204
SRR13891647_1	48.7048	0.900953	23690001.0	106264.0	0.518936	99.37344530271008	0.033665625526025394
SRR13891648_1	35.653	0.904455	25294965.0	121290.0	0.523193	99.32359395984146	10.6816469586295
SRR13891649_1	48.6103	0.916623	31498516.0	145400.0	0.503702	99.48955154434607	6.964268608104225
SRR13891650_1	30.9829	0.873018	19917555.0	92206.0	0.529042	99.11213345945481	0.002149797918995614
SRR13891651_1	32.2657	0.882124	20149837.0	92308.0	0.532739	99.21324161650902	0.01289767841788478
SRR13891652_1	23.5257	0.883187	33145518.0	162514.0	0.545248	99.2949140943862	11.132292201285528
SRR13891653_1	32.263	0.878314	18473324.0	84996.0	0.538996	99.24801494628677	0.016347501167678656
SRR13891654_1	38.7971	0.89342	19628280.0	88770.0	0.515615	99.19987484075722	0.004469972956663612
SRR13891655_1	31.366500000000002	0.888045	20456067.0	93094.0	0.524251	99.51043270053019	0.019240636223704463
SRR13891656_1	45.882400000000004	0.908661	38426569.0	175562.0	0.512088	99.39309532706048	4.301550097942639
SRR13891657_1	38.2905	0.894456	13779515.0	62250.0	0.518458	99.45678223358364	0.009586195877935773
SRR13891658_1	37.0405	0.890753	28439456.0	129064.0	0.519868	99.47129094412331	0.046242774566473986
SRR13891659_1	34.5622	0.889772	29517200.0	134074.0	0.526459	99.41422470043896	0.03707438604816704
SRR13891660_1	32.9536	0.889128	18199626.0	82712.0	0.522912	99.38240453704371	0.012015475933001707
SRR13891661_1	34.0719	0.884902	26621238.0	121982.0	0.522471	99.3630054413346	0.4952591965071193
SRR13891662_1	18.1822	0.871762	21895239.0	101522.0	0.547202	99.41246744090402	0.023501302363839332
SRR13891663_1	42.9353	0.898958	19691904.0	88536.0	0.528284	99.6308966510623	0.036010082823190494
SRR13891664_1	33.2497	0.88163	14688004.0	67338.0	0.521774	99.33323499041157	0.008850862959138516
SRR13891665_1	44.5043	0.894877	29611719.0	133730.0	0.520181	99.5044495371886	0.025298371975356407
SRR13891666_1	43.7967	0.895137	21983834.0	99234.0	0.502223	99.22209334879814	0.0039995200575930895
